,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
SLC5A4,13.144947689921786,-1.2576205669192642,0.28878274889128386,-4.354901986865954,1.3312647021154992e-05,0.0025643777774668843,blue
C12orf56,0.9962517116452201,-1.2683703007013185,0.37413621662839186,-3.3901297023087134,0.0006985956278182675,0.01866303889780948,blue
LINC00487,2.7930086089380803,-1.2692695007304788,0.2987792058111104,-4.248185536489166,2.15508883112679e-05,0.0033079166060710308,blue
TNF,2.041475862441498,-1.2724485379012818,0.41457143583820855,-3.0693106854517347,0.00214553338975257,0.03218207600662193,blue
PROZ,1.1151666627344838,-1.281375209803557,0.36771383696045434,-3.4847076204569425,0.0004926750711714258,0.016111820019519572,blue
GABRE,32.96060877797192,-1.2942911416436367,0.2997154671961865,-4.318399559928033,1.5716471562336827e-05,0.0027971826831723477,blue
C10orf53,1.3382955282931286,-1.2948980940819501,0.3314651510224154,-3.906588943325696,9.360819647076254e-05,0.00657638636433629,blue
LINC01471,2.1884088714634546,-1.2977514130711933,0.4261977657927622,-3.0449512344516196,0.0023271804025940877,0.03348426374874215,blue
LOC101929829,2.86934655355697,-1.2994023525951937,0.3235270432755044,-4.016363947321299,5.9102958707003464e-05,0.005182725506763403,blue
LINC01711,1.5911581805913917,-1.306192746450702,0.37484706622050995,-3.4846017593807512,0.0004928700093372825,0.016111820019519572,blue
CCL25,0.7149760057694958,-1.3067423163485583,0.45731936170673226,-2.857395565916451,0.004271331656591535,0.04720666316141896,blue
FAM47C,1.3053550393896851,-1.309516352785063,0.3164818227335138,-4.137730064477387,3.507586785669553e-05,0.00405735169155387,blue
ADGRE1,10.500096268362881,-1.309906853156262,0.4575935866477998,-2.8625988024706954,0.0042018223309938365,0.04678275493363712,blue
COLEC11,17.01713140825029,-1.3137660548696204,0.2894128910086406,-4.539417889406996,5.640974150935183e-06,0.0016937464006185595,blue
STC1,36.68410455583568,-1.3211062265423321,0.40676590572379084,-3.247829299241742,0.0011628901357968807,0.023750549146706414,blue
MIR4487,1.3577552454397308,-1.3530741358359941,0.36790124111481626,-3.677818894374756,0.00023523688334602054,0.010730630347585753,blue
CD300E,4.349831313716968,-1.3540744756000196,0.3298870275324483,-4.104661179702893,4.049078847802393e-05,0.004285780505557185,blue
ALDH1L1-AS1,1.137534747881821,-1.3572174367282923,0.4028706908294763,-3.368866158850865,0.0007547807019318688,0.019029502544928658,blue
TNFRSF9,0.8634257216187621,-1.3580130373064692,0.33258360946106713,-4.083222981153678,4.4415367697795125e-05,0.0044465334986455145,blue
NKG7,1.9986605203213246,-1.3584542046963664,0.37269214422046276,-3.6449767610148087,0.0002674159646701364,0.011513913803275143,blue
LOC101928160,1.0891365525593442,-1.3589325941793549,0.4153221646878754,-3.2719963192925796,0.0010679096633013111,0.022909522750125536,blue
XKR5,1.3452238404050751,-1.3602611780371479,0.3729299340646167,-3.64749797156658,0.00026480640139205433,0.011463970101345746,blue
PZP,4.341849380150898,-1.3632864361126258,0.4110847747572557,-3.3163145896552417,0.0009121308913441523,0.02107285473685187,blue
RFPL3,0.9811580641009456,-1.3651350865063607,0.4581560876115092,-2.9796288282955636,0.0028859784611412927,0.03791667676194173,blue
PRSS46P,1.442454161962174,-1.3841124571012373,0.327731130246984,-4.2233170100690325,2.4073283731487457e-05,0.0033803804647516717,blue
FAM166A,1.5646048100731322,-1.3851482813912797,0.34471478924184257,-4.018244428786306,5.8633357983742895e-05,0.005179351809835995,blue
LOC729968,2.1879937179751567,-1.393178189925011,0.43885725549742355,-3.17455886275803,0.001500644504481317,0.026907451872516867,blue
SLC1A7,8.254481587959326,-1.3967584960182666,0.4338327662430492,-3.2195781524619806,0.0012837936157427214,0.024889291169357706,blue
PGR-AS1,1.4933177997136915,-1.3983642438512922,0.384810416276497,-3.6339043453712767,0.00027916439504661623,0.01163570556224454,blue
ODF3B,12.34576827144831,-1.4012706888370807,0.372988903658487,-3.756869641677331,0.00017205206222427902,0.009148557899215273,blue
CLDN3,0.7339045070709805,-1.4025440331130137,0.455958312847307,-3.0760356672841334,0.002097727500759889,0.03175935643399991,blue
TBX3,58.85888167030014,-1.4027176010285984,0.2515492759812978,-5.576313410390766,2.456691528315557e-08,0.00013159630181795414,blue
ALLC,5.608098213552818,-1.4068988023398932,0.3826815895450123,-3.676421444816877,0.00023652864563969723,0.010763397289365541,blue
LINC01565,1.419864269130224,-1.4186199136757742,0.4020410836440676,-3.528544647272162,0.0004178514535107188,0.014853596571359253,blue
NALT1,1.5368278450199595,-1.4298672286258691,0.38542203641625716,-3.7098740952154787,0.00020736234467141643,0.010061098825974063,blue
LINC00694,4.356190843888294,-1.4299776462015485,0.34660649813738276,-4.125651578623189,3.69686597539025e-05,0.004189839565599129,blue
LOC101929719,8.907896698942993,-1.4333130004322074,0.36537627635488995,-3.9228408990627255,8.751094331852017e-05,0.006394552779750907,blue
HOTS,11.220036977973729,-1.4464597993688575,0.41994077118132866,-3.4444376412889004,0.0005722486202461903,0.01716531535412636,blue
LINC01219,6.553801079406492,-1.4524380658048623,0.4059555088146486,-3.577825732789889,0.0003464643144382109,0.013171674181972933,blue
CTRC,1.2400671644040824,-1.4525272522335142,0.38399088634663703,-3.782712829601601,0.00015512835229196793,0.008647955732062909,blue
CLMAT3,0.6680334569220261,-1.4677015165528058,0.4574078748073471,-3.2087368788107944,0.0013331943771698104,0.025463164785579518,blue
MROH5,0.4887791569738496,-1.4816687874680334,0.5162433472621604,-2.8700975912346385,0.004103451301035963,0.04595411782373837,blue
VWA5B1,8.90479500257649,-1.4819285662838408,0.30808416566253516,-4.8101419399369405,1.508231547191674e-06,0.0008292869584491235,blue
SLAMF7,1.3283282350923862,-1.486186211220272,0.44966056042461705,-3.3051291174321755,0.0009493265506922539,0.02149808579970102,blue
SLC2A14,4.6829394495047865,-1.4938485409477396,0.2913831867355765,-5.126749273640735,2.947876727866326e-07,0.00035414317070222104,blue
